batch_index,batch_seed,algorithm_id,algorithm_label,driver_id,order_count,stop_count,total_km,eta_minutes,route_valid,default_algorithm_id
1,42,greedy_nearest,Greedy Nearest Stop,driver_1,8,16,57.52,138,TRUE,greedy_nearest
1,42,paired_order_greedy,Greedy Paired Orders,driver_1,8,16,113.09,271,TRUE,greedy_nearest
2,43,greedy_nearest,Greedy Nearest Stop,driver_2,8,16,48.87,117,TRUE,greedy_nearest
2,43,paired_order_greedy,Greedy Paired Orders,driver_2,8,16,77.39,186,TRUE,greedy_nearest
3,44,greedy_nearest,Greedy Nearest Stop,driver_3,8,16,56.78,136,TRUE,greedy_nearest
3,44,paired_order_greedy,Greedy Paired Orders,driver_3,8,16,88.68,213,TRUE,greedy_nearest
4,45,greedy_nearest,Greedy Nearest Stop,driver_4,8,16,56.89,137,TRUE,greedy_nearest
4,45,paired_order_greedy,Greedy Paired Orders,driver_4,8,16,105.79,254,TRUE,greedy_nearest
5,46,greedy_nearest,Greedy Nearest Stop,driver_5,8,16,58.04,139,TRUE,greedy_nearest
5,46,paired_order_greedy,Greedy Paired Orders,driver_5,8,16,85.62,205,TRUE,greedy_nearest
6,47,greedy_nearest,Greedy Nearest Stop,driver_6,8,16,36.09,87,TRUE,greedy_nearest
6,47,paired_order_greedy,Greedy Paired Orders,driver_6,8,16,76.21,183,TRUE,greedy_nearest
7,48,greedy_nearest,Greedy Nearest Stop,driver_7,8,16,50.12,120,TRUE,greedy_nearest
7,48,paired_order_greedy,Greedy Paired Orders,driver_7,8,16,88.06,211,TRUE,greedy_nearest
8,49,greedy_nearest,Greedy Nearest Stop,driver_8,8,16,47.39,114,TRUE,greedy_nearest
8,49,paired_order_greedy,Greedy Paired Orders,driver_8,8,16,79.25,190,TRUE,greedy_nearest
9,50,greedy_nearest,Greedy Nearest Stop,driver_9,8,16,48.23,116,TRUE,greedy_nearest
9,50,paired_order_greedy,Greedy Paired Orders,driver_9,8,16,84.54,203,TRUE,greedy_nearest
10,51,greedy_nearest,Greedy Nearest Stop,driver_10,8,16,59.65,143,TRUE,greedy_nearest
10,51,paired_order_greedy,Greedy Paired Orders,driver_10,8,16,93.41,224,TRUE,greedy_nearest
11,52,greedy_nearest,Greedy Nearest Stop,driver_11,8,16,45.77,110,TRUE,greedy_nearest
11,52,paired_order_greedy,Greedy Paired Orders,driver_11,8,16,79.84,192,TRUE,greedy_nearest
12,53,greedy_nearest,Greedy Nearest Stop,driver_12,8,16,45.38,109,TRUE,greedy_nearest
12,53,paired_order_greedy,Greedy Paired Orders,driver_12,8,16,99.04,238,TRUE,greedy_nearest
13,54,greedy_nearest,Greedy Nearest Stop,driver_13,8,16,58.34,140,TRUE,greedy_nearest
13,54,paired_order_greedy,Greedy Paired Orders,driver_13,8,16,103.1,247,TRUE,greedy_nearest
14,55,greedy_nearest,Greedy Nearest Stop,driver_14,8,16,40.68,98,TRUE,greedy_nearest
14,55,paired_order_greedy,Greedy Paired Orders,driver_14,8,16,81.98,197,TRUE,greedy_nearest
15,56,greedy_nearest,Greedy Nearest Stop,driver_15,8,16,41.86,100,TRUE,greedy_nearest
15,56,paired_order_greedy,Greedy Paired Orders,driver_15,8,16,81.1,195,TRUE,greedy_nearest
16,57,greedy_nearest,Greedy Nearest Stop,driver_16,8,16,46.81,112,TRUE,greedy_nearest
16,57,paired_order_greedy,Greedy Paired Orders,driver_16,8,16,91.51,220,TRUE,greedy_nearest
17,58,greedy_nearest,Greedy Nearest Stop,driver_17,8,16,44.16,106,TRUE,greedy_nearest
17,58,paired_order_greedy,Greedy Paired Orders,driver_17,8,16,101.35,243,TRUE,greedy_nearest
